Title,Author,Rating,Number of users rated,Price
The 1619 Project: A New Origin Story ,Nikole Hannah-Jones,4.8 out of 5 stars,", ",$23.17
Winter Garden ,Kristin Hannah,4.6 out of 5 stars,"17,247",$7.56
The Sleep Experiment: An edge-of-your-seat psychological thriller (World's Scariest Legends) ,Jeremy Bates,4.3 out of 5 stars,"4,077",$7.95
"Autopsy: A Scarpetta Novel (Kay Scarpetta, 25) ",Kindle,4.4 out of 5 stars,More Buying Choices,$18.87
The Marriage: An absolutely jaw-dropping psychological thriller ,K.L. Slater,4.2 out of 5 stars,"4,324",$3.99
While Justice Sleeps: A Novel ,Kindle,4.5 out of 5 stars,Stacey Abrams,$0.00
The Woman I Was Before: A gripping emotional page turner with a twist ,Kerry Fisher,4.2 out of 5 stars,"4,506",$3.99
"Interesting Stories For Curious People: A Collection of Fascinating Stories About History, Science, Pop Culture and Just About Anything Else You Can Think of ",Audible Audiobook,4.5 out of 5 stars,More Buying Choices,$8.19
The Power of Your Subconscious Mind ,Joseph Murphy,4.6 out of 5 stars,"37,040",$5.49
The Dressmaker's Gift ,Fiona Valpy,4.5 out of 5 stars,"25,423",$8.99
What Should Darla Do? Featuring the Power to Choose (The Power to Choose Series) ,Adir Levy,4.8 out of 5 stars,", ",$14.84
The Baseball 100 ,Joe Posnanski,4.8 out of 5 stars,362,$33.99
The Henna Artist: A Novel (The Jaipur Trilogy Book 1) ,Audible Audiobook,4.5 out of 5 stars,Other formats: ,$4.99
The Last of the Moon Girls ,Barbara Davis,4.4 out of 5 stars,"30,298",$0.00
The New York Times Book Review: 125 Years of Literary History ,Kindle,5.0 out of 5 stars,The New York Times,$37.38
These Tangled Vines: A Novel ,Kindle,4.4 out of 5 stars,Julianne MacLean,$0.00
Unspeakable Things ,Jess Lourey,4.2 out of 5 stars,"17,760",$11.99
The Boy from the Woods ,Audible Audiobook,4.4 out of 5 stars,Other formats: ,$11.99
Our Little Secret ,Kiersten Modglin,4.1 out of 5 stars,"2,038",$0.00
"Sharpe's Assassin: Richard Sharpe and the Occupation of Paris, 1815 ",Hardcover,4.6 out of 5 stars,Other formats: ,$14.99
The Dark Hours ,Audible Audiobook,4.7 out of 5 stars,Other formats: ,$14.99
The Locked Door: A gripping psychological thriller with a jaw-dropping twist ,Freida McFadden,4.4 out of 5 stars,"8,090",$0.00
The Beach House (South Carolina Sunsets Book 1) ,Paperback,4.3 out of 5 stars,Other formats: ,$2.99
AGATHA CHRISTIE Premium Collection ,Agatha Christie,4.6 out of 5 stars,"1,691",$1.99
The Cipher (Nina Guerrera Book 1) ,Paperback,4.4 out of 5 stars,Other formats: ,$0.00
The Law of Innocence ,Kindle,4.5 out of 5 stars,Other formats: ,$0.00
The Girl Who Drank the Moon (Winner of the 2017 Newbery Medal) ,Kelly Barnhill,4.7 out of 5 stars,"15,275",$6.38
The Guilty Husband: An utterly gripping psychological thriller with a jaw-dropping twist! ,Stephanie DeCarolis,4.3 out of 5 stars,"7,020",$0.99
The Sanatorium: A Novel ,Sarah Pearse,3.9 out of 5 stars,"13,657",$14.83
Freaking Idiots Guides 4 Book Bundle Ebay Fiverr Kindle & Public Domain ,Nick Vulich,4.6 out of 5 stars,2,$5.66
The Peacemaker's Code ,Deepak Malhotra,4.7 out of 5 stars,"1,002",$0.00
Fly Away: A Novel (Firefly Lane Book 2) ,Audible Audiobook,4.5 out of 5 stars,Other formats: ,$11.99
The Venice Sketchbook: A Novel ,Rhys Bowen,4.5 out of 5 stars,"27,925",$0.00
The Sentinel: A Jack Reacher Novel ,Mass Market Paperback,4.3 out of 5 stars,Other formats: ,$9.99
The Clover Girls: A Novel ,Viola Shipman,4.3 out of 5 stars,994,$9.99
The Christmas House: A Hickory Grove Novel ,Paperback,4.4 out of 5 stars,Other formats: ,$3.99
"Father Brown Complete Murder Mysteries: The Innocence of Father Brown, The Wisdom of Father Brown, The Donnington Affair… ",G. K. Chesterton,4.2 out of 5 stars,"1,792",$1.99
The Reckoning: A Novel ,John Grisham,4.2 out of 5 stars,"17,392",$9.99
We Were the Lucky Ones ,Kindle,4.7 out of 5 stars,Georgia Hunter,$0.00
Where Tomorrows Aren't Promised: A Memoir of Survival and Hope ,Carmelo Anthony,4.8 out of 5 stars, and ,$17.80
Elsewhere ,Paperback,4.5 out of 5 stars,Dean Koontz,$0.00
A MIRROR ABOVE THE ABYSS: a novel ,Paperback,4.4 out of 5 stars,Other formats: ,$0.00
