Title,Author,Rating,Number of users rated,Price
The Rooster Bar ,Kindle,4.2 out of 5 stars,992,$0.00 
How to Win Friends & Influence People ,Paperback,4.7 out of 5 stars,"23,458",$0.00 
The Lost Sister: An unforgettable and heartbreaking historical timeslip novel for 2021 ,Kathleen McGurl,4.3 out of 5 stars,625,$0.99 
"The Girl Who Escaped from Auschwitz: A totally gripping and absolutely heartbreaking World War 2 page-turner, based on a true story ",Ellie Midwood,4.6 out of 5 stars,"4,523",$3.99 
The Girl Who Looked Beyond The Stars (Sheena Meyer) ,Kindle,4.7 out of 5 stars,"1,209",$7.99 
Night Road: A Novel ,Kristin Hannah,4.6 out of 5 stars,"8,924",$15.99 
A Dance with the Fae Prince (Married to Magic) ,Paperback,4.4 out of 5 stars,"4,490",$0.00 
The Light in Hidden Places ,Sharon Cameron,4.7 out of 5 stars,"1,891",$10.99 
"Simple Air Fryer Cookbook with Pictures: Easy Recipes for Beginners with Tips & Tricks to Fry, Grill, Roast, and Bake | Your Everyday Air Fryer Book ",Cecily Goodwin,4.3 out of 5 stars,874,$17.99 
This Tender Land (Thorndike Press Large Print Basic) ,William Kent Krueger,4.6 out of 5 stars,"18,726",$33.99 
BAD KARMA: The True Story of a Mexico Trip from Hell ,Paul Wilson,4.2 out of 5 stars,"2,369",$12.55 
The Other Emily ,Dean Koontz,4.2 out of 5 stars,"11,312",$12.99 
Split Second (King & Maxwell Series Book 1) ,Audible Audiobook,4.5 out of 5 stars,"4,745",$7.99 
Cloud Cuckoo Land: A Novel ,Anthony Doerr,4.5 out of 5 stars,"4,074",$18.57 
The Richest Man in Babylon ,Paperback,4.7 out of 5 stars,992,$0.00 
"The Girl You Killed: An addictive, heart-stopping psychological thriller (Leslie Wolfe Collection) ",Paperback,4.5 out of 5 stars,"1,209",$0.00 
Game On: Tempting Twenty-Eight (Stephanie Plum Book 28) ,Audible Audiobook,4.6 out of 5 stars,"4,490",$15.99 
"You Are Your Best Thing: Vulnerability, Shame Resilience, and the Black Experience ",Hardcover,4.8 out of 5 stars,"4,366",$0.00 
They Wish They Were Us ,Jessica Goodman,4.3 out of 5 stars,"1,688",$9.13 
The Last Days of John Lennon ,James Patterson,4.6 out of 5 stars,"4,366",$14.99 
The Book of Hope: A Survival Guide for Trying Times (Global Icons Series) ,Audible Audiobook,4.8 out of 5 stars,"1,209",$16.80 
The Night She Disappeared: A Novel ,Kindle,4.4 out of 5 stars,"97,456",$0.00 
The Girls in the Stilt House: A Novel ,Kelly Mustian ,4.5 out of 5 stars,"3,365",$7.39 
The Searcher: A Novel ,Tana French,4.3 out of 5 stars,"22,070",$12.99 
"Learn to Read : Bird Saves Christmas - A Learn to Read Book for Kids 3-5: A sight words story for toddlers, kindergarten kids and preschoolers (Learn to Read Happy Bird 23) ",Paperback,4.1 out of 5 stars,"8,654",$0.00 
A Distant Shore: A Novel ,Karen Kingsbury,4.8 out of 5 stars,"2,516",$12.99 
People We Meet on Vacation ,Emily Henry,4.3 out of 5 stars,"21,742",$9.98 
The Weight of Air: A Story of the Lies about Addiction and the Truth about Recovery ,David Poses,4.5 out of 5 stars,415,$14.95 
Taste: My Life Through Food ,Stanley Tucci,4.7 out of 5 stars,940,$18.14 
The Mysterious Bookshop Presents the Best Mystery Stories of the Year: 2021 ,Lee Child,4.2 out of 5 stars,"5,556",$14.49 
"One Minute Out: Gray Man, Book 9 ",Kindle,4.6 out of 5 stars,992,$0.00 
